PersonType,NameStyle,Title,FirstName,MiddleName,LastName,AverageRate,MaximumRate,DiffFromAvgRate,PercentofMaxRate,Rate
EM,0,NULL,Ken,J,Sánchez,"17,7588","125,50","107,7412","1,00","125,50"
EM,0,NULL,Terri,Lee,Duffy,"17,7588","125,50","45,7027","0,5056","63,4615"
EM,0,NULL,Roberto,NULL,Tamburello,"17,7588","125,50","25,5104","0,3447","43,2692"
EM,0,NULL,Rob,NULL,Walters,"17,7588","125,50","-9,1388","0,0686","8,62"
EM,0,NULL,Rob,NULL,Walters,"17,7588","125,50","5,9612","0,189","23,72"
EM,0,NULL,Rob,NULL,Walters,"17,7588","125,50","12,0874","0,2378","29,8462"
EM,0,Ms.,Gail,A,Erickson,"17,7588","125,50","14,9335","0,2604","32,6923"
EM,0,Mr.,Jossef,H,Goldberg,"17,7588","125,50","14,9335","0,2604","32,6923"
EM,0,NULL,Dylan,A,Miller,"17,7588","125,50","32,722","0,4022","50,4808"
EM,0,NULL,Diane,L,Margheim,"17,7588","125,50","23,1066","0,3256","40,8654"
EM,0,NULL,Gigi,N,Matthew,"17,7588","125,50","23,1066","0,3256","40,8654"
EM,0,NULL,Michael,NULL,Raheem,"17,7588","125,50","24,722","0,3384","42,4808"
EM,0,NULL,Ovidiu,V,Cracium,"17,7588","125,50","11,0874","0,2298","28,8462"
EM,0,NULL,Thierry,B,D'Hers,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,Ms.,Janice,M,Galvin,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Michael,I,Sullivan,"17,7588","125,50","18,2989","0,2873","36,0577"
EM,0,NULL,Sharon,B,Salavaria,"17,7588","125,50","14,9335","0,2604","32,6923"
EM,0,NULL,David,M,Bradley,"17,7588","125,50","6,2412","0,1912","24,00"
EM,0,NULL,David,M,Bradley,"17,7588","125,50","10,9912","0,229","28,75"
EM,0,NULL,David,M,Bradley,"17,7588","125,50","19,7412","0,2988","37,50"
EM,0,NULL,Kevin,F,Brown,"17,7588","125,50","-4,2973","0,1072","13,4615"
EM,0,NULL,John,L,Wood,"17,7588","125,50","-3,3357","0,1149","14,4231"
EM,0,NULL,Mary,A,Dempsey,"17,7588","125,50","-4,2973","0,1072","13,4615"
EM,0,NULL,Wanida,M,Benshoof,"17,7588","125,50","-4,2973","0,1072","13,4615"
EM,0,NULL,Terry,J,Eminhizer,"17,7588","125,50","-3,3357","0,1149","14,4231"
EM,0,NULL,Sariya,E,Harnpadoungsataya,"17,7588","125,50","-3,3357","0,1149","14,4231"
EM,0,NULL,Mary,E,Gibson,"17,7588","125,50","-3,3357","0,1149","14,4231"
EM,0,Ms.,Jill,A,Williams,"17,7588","125,50","-3,3357","0,1149","14,4231"
EM,0,NULL,James,R,Hamilton,"17,7588","125,50","66,3758","0,6703","84,1346"
EM,0,NULL,Peter,J,Krebs,"17,7588","125,50","6,7604","0,1953","24,5192"
EM,0,NULL,Jo,A,Brown,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Guy,R,Gilbert,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Mark,K,McArthur,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Britta,L,Simon,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Margie,W,Shoop,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Rebecca,A,Laszlo,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Annik,O,Stahl,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Suchitra,O,Mohan,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Brandon,G,Heidepriem,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Jose,R,Lugo,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Chris,O,Okelberry,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Kim,B,Abercrombie,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Ed,R,Dudenhoefer,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,JoLynn,M,Dobney,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Bryan,NULL,Baker,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,James,D,Kramer,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Nancy,A,Anderson,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Simon,D,Rapier,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Thomas,R,Michaels,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Eugene,O,Kogan,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Andrew,R,Hill,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Ruth,Ann,Ellerbrock,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Barry,K,Johnson,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Sidney,M,Higa,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Jeffrey,L,Ford,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Doris,M,Hartwig,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Diane,R,Glimp,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Bonnie,N,Kearney,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Taylor,R,Maxwell,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Denise,H,Smith,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Frank,T,Miller,"17,7588","125,50","-6,7588","0,0876","11,00"
